image_id,filename,original_score,operations,post_status,post_score,score_delta,degradation_detected,degradation_reasons,final_status,final_directive
aptos_eedae6b28f96,aptos_eedae6b28f96.png,0.7707,bilateral_denoising; illumination_normalization,NON-CRITICAL,0.834,0.0633,True,"Severe degradation in focus (0.670 -> 0.419, delta=-0.251)",CRITICAL,RECAPTURE
aptos_f002ce614c59,aptos_f002ce614c59.png,0.7491,bilateral_denoising; illumination_normalization; gamma_correction,NON-CRITICAL,0.9016,0.1525,False,None,NON-CRITICAL,OK TO GO
aptos_f1979147aad4,aptos_f1979147aad4.png,0.7013,bilateral_denoising; illumination_normalization; gamma_correction,NON-CRITICAL,0.8849,0.1836,False,None,NON-CRITICAL,OK TO GO
aptos_f56ff0440ed1,aptos_f56ff0440ed1.png,0.7286,bilateral_denoising; glare_attenuation,BORDERLINE,0.6823,-0.0463,True,"Dimension focus dropped below non-critical threshold (0.678 -> 0.301, delta=-0.377)",CRITICAL,RECAPTURE
aptos_fa0c87bd75ce,aptos_fa0c87bd75ce.png,0.7495,illumination_normalization; gamma_correction,NON-CRITICAL,0.8009,0.0514,False,None,NON-CRITICAL,OK TO GO
aptos_fa3e544a7401,aptos_fa3e544a7401.png,0.7795,bilateral_denoising; illumination_normalization,NON-CRITICAL,0.8465,0.067,False,None,NON-CRITICAL,OK TO GO
aptos_fb61230b99dd,aptos_fb61230b99dd.png,0.7816,illumination_normalization,NON-CRITICAL,0.7553,-0.0263,True,"Severe degradation in contrast (1.000 -> 0.469, delta=-0.531)",CRITICAL,RECAPTURE
aptos_fe2df69676cf,aptos_fe2df69676cf.png,0.8149,CLAHE,NON-CRITICAL,0.9463,0.1314,False,None,NON-CRITICAL,OK TO GO
aptos_ff8a0b45c789,aptos_ff8a0b45c789.png,0.8003,illumination_normalization,NON-CRITICAL,0.8281,0.0278,False,None,NON-CRITICAL,OK TO GO
train_IDRiD_259,train_IDRiD_259.jpg,0.8251,bilateral_denoising; gamma_correction,NON-CRITICAL,0.8446,0.0195,False,None,NON-CRITICAL,OK TO GO
train_IDRiD_352,train_IDRiD_352.jpg,0.8568,bilateral_denoising; illumination_normalization,NON-CRITICAL,0.9017,0.0449,False,None,NON-CRITICAL,OK TO GO
